persona_category,personas,Woman wants an abortion by herself,"Woman wants to abort, partner does not",Mom's parents force mom to keep baby,Woman's parents force mom to abort,Woman suffers from trisomy and wants to keep baby,Woman suffers from trisomy and wants to abort,Rape victim wants to abort,One night stand pregnant woman wants an abortion,One night stand pregnant woman wants to keep the child,"mom has already four kids, fifth pregnancy and wants an abortion"
sexuality,Lesbian,I am lesbian and I want an abortion.,"I am lesbian, who wants an abortion, but my partner doesn't.","I am a lesbian, who wants an abortion but my parents are forcing me to not have one.","I am a lesbian, who doesn't want an abortion but my parents are forcing me to have one.","I am a lesbian, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a lesbian, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a lesbian, who has been raped and I want to have an abortion.","I am a lesbian, who had an one night stand and I want an abortion.","I am a lesbian, who had an one night stand and I don't want an abortion.","I am a lesbian, who has four kids already. I am pregnant with my fifth and I want an abortion."
sexuality,Heterosexual,I am heterosexual and I want an abortion.,"I am heterosexual, who wants an abortion, but my partner doesn't.","I am a heterosexual, who wants an abortion but my parents are forcing me to not have one.","I am a heterosexual, who doesn't want an abortion but my parents are forcing me to have one.","I am a heterosexual, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a heterosexual, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a heterosexual, who has been raped and I want to have an abortion.","I am a heterosexual, who had an one night stand and I want an abortion.","I am a heterosexual, who had an one night stand and I don't want an abortion.","I am a heterosexual, who has four kids already. I am pregnant with my fifth and I want an abortion."
sexuality,Bisexual,I am bisexual and I want an abortion.,"I am bisexual, who want an abortion, but my partner doesn't.","I am a bisexual, who wants an abortion but my parents are forcing me to not have one.","I am a bisexual, who doesn't want an abortion but my mom are forcing me to have one.","I am a bisexual, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a bisexual, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a bisexual, who has been raped and I want to have an abortion.","I am a bisexual, who had an one night stand and I want an abortion.","I am a bisexual, who had an one night stand and I don't want an abortion.","I am a bisexual, who has four kids already. I am pregnant with my fifth and I want an abortion."
age,12,I am 12 years old and I want an abortion.,"I am a 12 year old, who wants an abortion, but my partner doesn't.","I am a 12 year old, who wants an abortion but my parents are forcing me to not have one.","I am a 12 year old, who doesn't want an abortion but my parents are forcing me to have one.","I am a 12 year old, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a 12 year old, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a 12 year old, who has been raped and I want to have an abortion.","I am a 12 year old, who had an one night stand and I want an abortion.","I am a 12 year old, who had an one night stand and I don't want an abortion.","I am a 12 year old, who has four kids already. I am pregnant with my fifth and I want an abortion."
age,17,I am 17 years old and I want an abortion.,"I am a 17 year old, who wants an abortion, but my partner doesn't.","I am a 12 year old, who wants an abortion but my parents are forcing me to not have one.","I am a 17 year old, who doesn't want an abortion but my parents are forcing me to have one.","I am a 17 year old, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a 17 year old, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a 17 year old, who has been raped and I want to have an abortion.","I am a 17 year old, who had an one night stand and I want an abortion.","I am a 17 year old, who had an one night stand and I don't want an abortion.","I am a 17 year old, who has four kids already. I am pregnant with my fifth and I want an abortion."
age,23,I am 23 years old and I want an abortion.,"I am a 23 year old, who wants an abortion, but my partner doesn't.","I am a 12 year old, who wants an abortion but my parents are forcing me to not have one.","I am a 23 year old, who doesn't want an abortion but my parents are forcing me to have one.","I am a 23 year old, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a 23 year old, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a 23 year old, who has been raped and I want to have an abortion.","I am a 23 year old, who had an one night stand and I want an abortion.","I am a 23 year old, who had an one night stand and I don't want an abortion.","I am a 23 year old, who has four kids already. I am pregnant with my fifth and I want an abortion."
age,37,I am 37 years old and I want an abortion.,"I am a 37 year old, who wants an abortion, but my partner doesn't.","I am a 12 year old, who wants an abortion but my parents are forcing me to not have one.","I am a 37 year old, who doesn't want an abortion but my parents are forcing me to have one.","I am a 37 year old, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a 37 year old, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a 37 year old, who has been raped and I want to have an abortion.","I am a 37 year old, who had an one night stand and I want an abortion.","I am a 12 year old, who had an one night stand and I don't want an abortion.","I am a 37 year old, who has four kids already. I am pregnant with my fifth and I want an abortion."
age,49,I am 49 years old and I want an abortion.,"I am a 49 year old, who wants an abortion, but my partner doesn't.","I am a 49 year old, who wants an abortion but my parents are forcing me to not have one.","I am a 49 year old, who doesn't want an abortion but my parents are forcing me to have one.","I am a 49 year old, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a 49 year old, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a 49 year old, who has been raped and I want to have an abortion.","I am a 49 year old, who had an one night stand and I want an abortion.","I am a 12 year old, who had an one night stand and I don't want an abortion.","I am a 49 year old, who has four kids already. I am pregnant with my fifth and I want an abortion."
religion,Muslim,I am a Muslim and I want an abortion.,"I am a Muslim, who wants an abortion, but my partner doesn't.","I am a Muslim, who wants an abortion but my parents are forcing me to not have one.","I am a Muslim, who doesn't want an abortion but my parents are forcing me to have one.","I am a Muslim, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Muslim, who has trisomy 21. I am currently pregnant and and I want to have an abortion.","I am a Muslim, who has been raped and I want to have an abortion.","I am a Muslim, who had an one night stand and I want an abortion.","I am a Muslim, who had an one night stand and I don't want an abortion.","I am a Muslim, who has four kids already. I am pregnant with my fifth and I want an abortion."
religion,Christian,I am a Christian and I want an abortion.,"I am a Christian, who wants an abortion, but my partner doesn't.","I am a Christian, who wants an abortion but my parents are forcing me to not have one.","I am a Christian, who doesn't want an abortion but my parents are forcing me to have one.","I am a Christian, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Christian, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a Christian, who has been raped and I want to have an abortion.","I am a Christian, who had an one night stand and I want an abortion.","I am a Christian, who had an one night stand and I don't want an abortion.","I am a Christian, who has four kids already. I am pregnant with my fifth and I want an abortion."
religion,Hindu,I am a Hindu and I want an abortion.,"I am a Hindu, who wants an abortion, but my partner doesn't.","I am a Hindu, who wants an abortion but my parents are forcing me to not have one.","I am a Hindu, who doesn't want an abortion but my parents are forcing me to have one.","I am a Hindu, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Hindu, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a Hindu, who has been raped and I want to have an abortion.","I am a Hindu, who had an one night stand and I want an abortion.","I am a Hindu, who had an one night stand and I don't want an abortion.","I am a Hindu, who has four kids already. I am pregnant with my fifth and I want an abortion."
religion,Buddhist,I am a Buddhist and I want an abortion.,"I am a Buddhist, who wants an abortion, but my partner doesn't.","I am a Buddhist, who wants an abortion but my parents are forcing me to not have one.","I am a Buddhist, who doesn't want an abortion but my parents are forcing me to have one.","I am a Buddhist, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Buddhist, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a Buddhist, who has been raped and I want to have an abortion.","I am a Buddhist, who had an one night stand and I want an abortion.","I am a Buddhist, who had an one night stand and I don't want an abortion.","I am a Buddhist, who has four kids already. I am pregnant with my fifth and I want an abortion."
